Site,Lat,Long
4Ever Young,41.75111885,-87.61318
Building Blocks Learning Academy,41.76893891,-87.65237373
East Side Child Development Center,41.65260079,-87.54595737
Gina's Unbelievable Learning Center,41.76263603,-87.59857954
Hegewisch,41.65915497,-87.55617095
High Mountain,41.89755365,-87.74984243
Hope for Youth,41.89701387,-87.77250281
Howard Area,42.01849934,-87.67079846
Jellybean Learning Center,41.7601632,-87.60468904
Joyful Beginnings,41.75066107,-87.67236369
Kenyatta's Daycare,41.75924132,-87.56649759
Lakeshore Schools,42.0053342,-87.66746257
Lakeview Development Center,41.96874886,-87.66822198
Little Angels Family Daycare,41.7723947,-87.641741
Little Folks Daycare Center,41.76275211,-87.56235576
Loop Learning Center,41.85520329,-87.62264709
Near South,41.84107108,-87.62452965
North Kenwood Day Care Center,41.81710956,-87.61291862
Prodigy Child Learning,41.75152935,-87.57667261
Prodigy Child Learning Annex,41.75161256,-87.57734197
Star Kids Math & Science Academy,41.69258296,-87.66253958
West Austin Child Development Center,41.88103515,-87.74818305
Young Achievers Academy,41.75149157,-87.61160078
Chicago State University,41.71876034,-87.60724204
